"Guid","AccountId","AssetId","Comments","ContactId","Description","EngineeringReqNumber__c","IsEscalated","Origin","ParentId","PotentialLiability__c","Priority","Product__c","Reason","SLAViolation__c","Status","Subject","SuppliedCompany","SuppliedEmail","SuppliedName","SuppliedPhone","Type"
4c66467c-8d17-4c8f-a594-0427430d0640,be53b406-e779-4412-8a72-0f4d528f3b4c,"#N/A","#N/A",06e537d1-58e5-4929-9907-66aecf84e6c4,"#N/A","#N/A",false,Email,"#N/A","#N/A",Medium,"#N/A",User didn't attend training,"#N/A",New,Test,"#N/A","#N/A","#N/A","#N/A",Problem
4dbd6a8c-9ba8-4685-a814-6f65a63eb572,cefb0863-d692-45ee-9d6c-b9e283301956,"#N/A","#N/A",c4dd9791-56d6-442e-8c6e-b46ee0cda42f,"#N/A",237645,false,Phone,"#N/A",Yes,Medium,GC3060,Performance,No,Closed,Power generation below stated level,"#N/A","#N/A","#N/A","#N/A",Electrical
5118895f-e625-4bfd-89f2-b6b8c7b4bd41,d875d1af-f0f6-472e-a1ef-90446cd6a7cc,"#N/A","#N/A",ec5cc84c-2a8c-4f55-b7ba-8146ecc1ebc3,"#N/A",526714,false,Phone,"#N/A",No,Medium,GC1040,Equipment Complexity,No,Closed,Cannot start generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
5752dfd1-3f75-4fd5-9014-540afa35d53d,d6e23c21-31d9-477d-bbe3-0a36ea2f7349,"#N/A","#N/A",cd50c71d-bc40-488f-a339-b80c5bfb22bd,"#N/A",868314,false,Web,"#N/A",No,Low,GC3040,Equipment Design,No,New,Design issue with mechanical rotor,"#N/A","#N/A","#N/A","#N/A",Mechanical
69a40e26-6583-4704-849b-8997c53eaff9,5391b1c8-c198-4da1-9183-9ae1147b4c5a,"#N/A","#N/A",61bf2e68-ba6b-4e7e-9f0a-3f9159105421,"#N/A",784532,false,Phone,"#N/A",No,Medium,GC5020,Other,No,Closed,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
72138bd3-5c57-4be6-a188-602f219702e7,7999371b-a76f-457e-b598-d6b789161cc6,"#N/A","#N/A",8bb70ac2-6657-4d99-b615-8808ed5cee91,"#N/A",965884,false,Web,"#N/A",No,Medium,GC3020,Equipment Design,No,Closed,Electronic panel fitting loose,"#N/A","#N/A","#N/A","#N/A",Electronic
7798f959-978c-4c28-aeee-9ebd45e24b57,d5e9c6ca-d474-4ece-87e5-4220b2e64da6,"#N/A","#N/A",c35e7536-d731-411f-94e6-7c5e6d7a5d26,"#N/A","#N/A",false,Web,"#N/A",No,Low,GC1020,Feedback,No,Closed,Customer service for portable generators needs beefing up,"#N/A","#N/A","#N/A","#N/A",Other
8cd8485c-4d8d-4193-ad2c-6802de50449f,d5e9c6ca-d474-4ece-87e5-4220b2e64da6,"#N/A","#N/A",ef369810-ee87-42f2-8bdd-8768bb20d887,"#N/A",654623,false,Web,"#N/A",No,Medium,GC5020,Equipment Design,No,Closed,Starting up generator consumes excessive power,"#N/A","#N/A","#N/A","#N/A",Other
97086b0b-0e58-4fef-9b0b-5e908bc03229,6b0b06f3-ad87-44b5-ab79-8a6394dd0374,"#N/A","#N/A",0ec81875-44b4-4b08-8acf-f99fa0145a2f,"#N/A",651375,false,Web,"#N/A",No,Low,GC5020,Feedback,No,New,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
a884da28-1790-4b67-baea-2851f6e36674,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,Email,"#N/A","#N/A",Medium,"#N/A",User didn't attend training,"#N/A",New,Test,"#N/A","#N/A","#N/A","#N/A",Problem
ad57895b-2d19-46dc-9be9-7157a9917b7b,c6018ee3-bb27-4370-99a4-ae113102649e,"#N/A","#N/A",d208ed91-4bf9-44d5-bbbe-5f2c0c15db41,"#N/A",347209,false,Web,"#N/A",Yes,Medium,GC1020,Breakdown,Yes,Closed,Repeated motor breakdown while shutting off,"#N/A","#N/A","#N/A","#N/A",Electrical
ae39c27d-e2c2-4ff3-bd7a-6ee182ca8dac,d6e23c21-31d9-477d-bbe3-0a36ea2f7349,"#N/A","#N/A",e16adace-032e-409f-a9b0-95a53a3899a0,"#N/A",265794,false,Phone,"#N/A",No,High,GC5060,Other,No,Closed,Electric surge damaging adjacent equipment,"#N/A","#N/A","#N/A","#N/A",Electrical
ae4e854b-3e79-49fd-88c5-afe0ea3e86ed,5391b1c8-c198-4da1-9183-9ae1147b4c5a,"#N/A","#N/A",d6320611-09d1-43f3-8b4f-e1aa68d57fda,"#N/A",653780,false,Phone,"#N/A",Yes,Medium,GC1060,Performance,No,Closed,Electrical circuit malfunctioning,"#N/A","#N/A","#N/A","#N/A",Electrical
ae8e938c-703b-4969-8281-47a8859b92ac,7999371b-a76f-457e-b598-d6b789161cc6,"#N/A","#N/A",8bb70ac2-6657-4d99-b615-8808ed5cee91,"#N/A",354982,false,Web,"#N/A",Yes,Medium,GC3060,Breakdown,No,Closed,Frequent mechanical breakdown,"#N/A","#N/A","#N/A","#N/A",Mechanical
c463b61f-0f90-44b5-8a0b-614aa317556a,29bd7020-adc5-4bb2-b86a-45ffaeb45c54,"#N/A","#N/A",f090d32b-aa85-475e-9e21-3064294ac487,"#N/A","#N/A",false,Email,"#N/A","#N/A",Medium,"#N/A",User didn't attend training,"#N/A",New,Test,"#N/A","#N/A","#N/A","#N/A",Problem
cd9f44e0-6cbc-4942-bfb7-3b292591a141,107b51a2-08c7-4eb1-9345-d97e5cf44a59,"#N/A","#N/A",6caec981-8f7a-496e-8271-924d2b0a2d47,"#N/A",365782,false,Phone,"#N/A",Yes,Medium,GC3040,Other,No,Closed,Mechanical maintenance guidelines for generator misleading,"#N/A","#N/A","#N/A","#N/A",Mechanical
d5107dfb-8041-4158-95ba-9c3e7f79fb97,d6e23c21-31d9-477d-bbe3-0a36ea2f7349,"#N/A","#N/A",e16adace-032e-409f-a9b0-95a53a3899a0,"#N/A",435143,false,Phone,"#N/A",Yes,High,GC3060,Installation,"#N/A",Closed,Generator GC3060 platform structure is weakening,"#N/A","#N/A","#N/A","#N/A",Structural
e746afa9-1607-4c0d-8550-b1fb1ae0fb98,5391b1c8-c198-4da1-9183-9ae1147b4c5a,"#N/A","#N/A",61bf2e68-ba6b-4e7e-9f0a-3f9159105421,"#N/A","#N/A",false,Web,"#N/A",No,Low,GC1020,Installation,No,Closed,Easy installation process,"#N/A","#N/A","#N/A","#N/A",Other
f1fd79ef-5cb8-4381-abcd-f4e9c293669f,cefb0863-d692-45ee-9d6c-b9e283301956,"#N/A","#N/A",c4dd9791-56d6-442e-8c6e-b46ee0cda42f,"#N/A",636265,false,Web,"#N/A",Yes,High,GC5060,Equipment Design,No,Closed,Structural failure of generator base,"#N/A","#N/A","#N/A","#N/A",Structural
f757b00e-bb35-494c-b5fe-d803259e8b05,49350320-ef1d-4ebf-aee0-d80affb90ad0,"#N/A","#N/A",f4f0ada3-1269-41fb-b797-03bfd8c7f534,"#N/A","#N/A",false,Email,"#N/A","#N/A",Medium,"#N/A",User didn't attend training,"#N/A",New,Test,"#N/A","#N/A","#N/A","#N/A",Problem
faa7c589-b091-402b-9242-844eab3c7b97,d6e23c21-31d9-477d-bbe3-0a36ea2f7349,"#N/A","#N/A",e16adace-032e-409f-a9b0-95a53a3899a0,"#N/A","#N/A",false,Web,"#N/A",No,Low,GC3060,Installation,No,New,Seeking guidance on electrical wiring installation for GC5060,"#N/A","#N/A","#N/A","#N/A",Electrical
