"Guid","AnnualRevenue","City","Company","CompanyDunsNumber","Country","CurrentGenerators__c","Description","Email","EmailBouncedReason","Fax","FirstName","GeocodeAccuracy","Industry","IsConverted","IsUnreadByOwner","Jigsaw","LastName","Latitude","LeadSource","Longitude","MobilePhone","NumberOfEmployees","NumberofLocations__c","Phone","PostalCode","Primary__c","ProductInterest__c","Rating","SICCode__c","Salutation","State","Status","Street","Title","Website"
554a3202-3c12-44cc-a44e-6980a20154b3,3.5E8,Burlington,Burlington Textiles Corp of America,"#N/A",USA,John Deere,"#N/A",jrogers@btca.com,"#N/A",(336) 222-8000,Jack,"#N/A",Apparel,false,true,"#N/A",Rogers,"#N/A",Web,"#N/A","#N/A",9000,3.0,(336) 222-7000,27215,Yes,GC5000 series,Warm,7267,Mr.,NC,Closed - Converted,525 S. Lexington Ave,"VP, Facilities","#N/A"
5c5b8095-a8ec-457a-ad40-c8e4ccebe14c,44.0,Jaipur,Test Pvt Ltd,"#N/A",India,"#N/A","jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn,
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn,",vish@gmai.com,"#N/A","#N/A",Krishna,"#N/A",Healthcare,false,true,"#N/A",Sharma,"#N/A",Advertisement,"#N/A","#N/A",545,"#N/A",5456466,302020,"#N/A","#N/A",Warm,"#N/A",Mr.,rajasthan,New,Kalyan,Test,www.case.com
5e35df53-5eef-4ced-8f12-dcd3fc7323b6,"#N/A","#N/A",Zenith Industrial Partners,"#N/A",USA,John Deere,"#N/A",bill_dadio@zenith.com,"#N/A","#N/A",Bill,"#N/A","#N/A",false,true,"#N/A",Dadio Jr,"#N/A",Web,"#N/A","#N/A","#N/A",3.0,(614) 431-5000,"#N/A",Yes,GC5000 series,"#N/A",7267,Mr,OH,Closed - Not Converted,"#N/A",CFO,"#N/A"
637a1388-bc53-4ead-b933-3f0171c4cc60,"#N/A","#N/A",Pacific Retail Group,"#N/A",USA,All,"#N/A",eluce@pacificretail.com,"#N/A","#N/A",Eugena,"#N/A","#N/A",false,true,"#N/A",Luce,"#N/A",Purchased List,"#N/A","#N/A","#N/A",130.0,(781) 270-6500,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,MA,Closed - Not Converted,"#N/A",CEO,"#N/A"
6a30f6b8-110e-45a3-989f-cc8871e17ba9,44.0,Jaipur,Test Pvt Ltd,"#N/A",India,"#N/A","jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn,
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn,",vish@gmai.com,"#N/A","#N/A",Krishna,"#N/A",Healthcare,false,true,"#N/A",Sharma,"#N/A",Advertisement,"#N/A","#N/A",545,"#N/A",5456466,302020,"#N/A","#N/A",Warm,"#N/A",Mr.,rajasthan,New,Kalyan,Test,www.case.com
6bc59da9-9fda-45f2-88d1-fc8733a23dac,44.0,Jaipur,Test Pvt Ltd,"#N/A",India,"#N/A","jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn,
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn,",vish@gmai.com,"#N/A","#N/A",Krishna,"#N/A",Healthcare,false,true,"#N/A",Sharma,"#N/A",Advertisement,"#N/A","#N/A",545,"#N/A",5456466,302020,"#N/A","#N/A",Warm,"#N/A",Mr.,rajasthan,New,Kalyan,Test,www.case.com
704b9313-0c40-48a3-bf8a-f6819ce234cc,44.0,Jaipur,Test Pvt Ltd,"#N/A",India,"#N/A","jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn,
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn,",vish@gmai.com,"#N/A","#N/A",Krishna,"#N/A",Healthcare,false,true,"#N/A",Sharma,"#N/A",Advertisement,"#N/A","#N/A",545,"#N/A",5456466,302020,"#N/A","#N/A",Warm,"#N/A",Mr.,rajasthan,New,Kalyan,Test,www.case.com
74c0fd81-8636-440b-b671-8f5a5d5bde7b,"#N/A","#N/A",Dickenson plc,"#N/A",USA,All,"#N/A",a_young@dickenson.com,"#N/A","#N/A",Andy,"#N/A","#N/A",false,true,"#N/A",Young,"#N/A",Purchased List,"#N/A","#N/A","#N/A",130.0,(620) 241-6200,"#N/A",Yes,GC5000 series,"#N/A",2768,Mr,KS,Closed - Converted,"#N/A","SVP, Operations","#N/A"
9372a284-4c85-420f-80dd-25da2abb93c3,"#N/A","#N/A",Blues Entertainment Corp.,"#N/A",Japan,All,"#N/A",david@blues.com,"#N/A","#N/A",David,"#N/A","#N/A",false,true,"#N/A",Monaco,"#N/A",Purchased List,"#N/A","#N/A","#N/A",130.0,(033) 452-1299,"#N/A",Yes,GC5000 series,"#N/A",2768,Mr,"#N/A",Working - Contacted,"#N/A",CFO,"#N/A"
bd0ca142-8fbd-444b-8ac9-23ba64ded976,"#N/A","#N/A",Hendrickson Trading,"#N/A",USA,John Deere,"#N/A",pam_owenby@hendricksontrading.com,"#N/A","#N/A",Pamela,"#N/A","#N/A",false,true,"#N/A",Owenby,"#N/A",Partner Referral,"#N/A","#N/A","#N/A",3.0,(570) 326-1571,"#N/A",Yes,GC5000 series,"#N/A",7267,Ms,PA,Closed - Not Converted,"#N/A","SVP, Technology","#N/A"
c2f674e9-a58e-4dc8-aa7e-fed6cf4146c6,"#N/A","#N/A",TNR Corp.,"#N/A",USA,All,"#N/A",ksynder@tnr.net,"#N/A","#N/A",Kathy,"#N/A","#N/A",false,true,"#N/A",Snyder,"#N/A",Purchased List,"#N/A","#N/A","#N/A",130.0,(860) 273-0123,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,CT,Working - Contacted,"#N/A",Regional General Manager,"#N/A"
c5a42d15-62c2-4089-ad32-20154bfc63de,"#N/A","#N/A",International Shipping Co.,"#N/A",USA,All,"#N/A",patricia_feager@is.com,"#N/A","#N/A",Patricia,"#N/A","#N/A",false,true,"#N/A",Feager,"#N/A",Partner Referral,"#N/A","#N/A","#N/A",130.0,(336) 777-1970,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,NC,Working - Contacted,"#N/A",CEO,"#N/A"
cc32706a-e4c4-4233-9eb3-7f9809da95cb,44.0,Jaipur,Test Pvt Ltd,"#N/A",India,"#N/A","jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn,
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn
jsnfjsfnksdjfnkjsadfnjkdsfnkjnadsjkfnjkadsnfjkasdnfjknsdjkfnjksdnfjsfnjksdnfkjnsdk
jksdnjfknasdjkfnjkasdnfjksdnfjknsdfjknsdjkfn,",vish@gmai.com,"#N/A","#N/A",Krishna,"#N/A",Healthcare,false,true,"#N/A",Sharma,"#N/A",Advertisement,"#N/A","#N/A",545,"#N/A",5456466,302020,"#N/A","#N/A",Warm,"#N/A",Mr.,rajasthan,New,Kalyan,Test,www.case.com
d30e35b0-dc9b-41a3-b050-86fe3826f5d9,"#N/A","#N/A",Abbott Insurance,"#N/A",USA,All,"#N/A",pcotton@abbottins.net,"#N/A","#N/A",Phyllis,"#N/A","#N/A",false,true,"#N/A",Cotton,"#N/A",Web,"#N/A","#N/A","#N/A",130.0,(703) 757-1000,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,VA,Open - Not Contacted,"#N/A",CFO,"#N/A"
d3e3672b-a1cc-447d-9aa1-66faae0b116c,"#N/A","#N/A",Pyramid Construction Inc.,"#N/A",France,All,"#N/A",pat@pyramid.net,"#N/A","#N/A",Pat,"#N/A","#N/A",false,true,"#N/A",Stumuller,"#N/A",Phone Inquiry,"#N/A","#N/A","#N/A",130.0,33562156600,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,"#N/A",Closed - Converted,"#N/A","SVP, Administration and Finance","#N/A"
dd481235-d992-4ba1-8b67-11b352357c99,"#N/A","#N/A",Delphi Chemicals,"#N/A",USA,All,"#N/A",tom.james@delphi.chemicals.com,"#N/A","#N/A",Tom,"#N/A","#N/A",false,true,"#N/A",James,"#N/A",Web,"#N/A","#N/A","#N/A",130.0,(952) 346-3500,"#N/A",Yes,GC5000 series,"#N/A",2768,Mr,MN,Working - Contacted,"#N/A","SVP, Production","#N/A"
e2405fd3-7e1c-4adf-afe6-633d4b1e75ff,"#N/A","#N/A",Western Telecommunications Corp.,"#N/A",USA,All,"#N/A",shellyb@westerntelecom.com,"#N/A","#N/A",Shelly,"#N/A","#N/A",false,true,"#N/A",Brownell,"#N/A",Partner Referral,"#N/A","#N/A","#N/A",130.0,(408) 326-9000,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,CA,Working - Contacted,"#N/A","SVP, Technology","#N/A"
e6615000-81ac-4e76-9004-fa909c843693,9.0075E8,Tallahassee,Farmers Coop. of Florida,"#N/A",USA,All,"#N/A",bertha@fcof.net,"#N/A",(850) 644-4300,Bertha,"#N/A",Agriculture,false,true,"#N/A",Boxer,"#N/A",Web,"#N/A","#N/A","#N/A",130.0,(850) 644-4200,32306,Yes,GC5000 series,Hot,2768,Ms.,FL,Working - Contacted,321 Westcott Building,Director of Vendor Relations,"#N/A"
ee0b45db-7c82-476e-812f-11086f1eb9be,"#N/A","#N/A",Emerson Transport,"#N/A",USA,All,"#N/A",violetm@emersontransport.com,"#N/A","#N/A",Violet,"#N/A","#N/A",false,true,"#N/A",Maccleod,"#N/A",Phone Inquiry,"#N/A","#N/A","#N/A",130.0,(770) 395-2370,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,GA,Working - Contacted,"#N/A","VP, Finance","#N/A"
f6fbb0ba-aa0e-4f56-92aa-55476fabd996,"#N/A","#N/A",Cadinal Inc.,"#N/A",USA,All,"#N/A",brenda@cardinal.net,"#N/A","#N/A",Brenda,"#N/A","#N/A",false,true,"#N/A",Mcclure,"#N/A",Web,"#N/A","#N/A","#N/A",130.0,(847) 262-5000,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,IL,Working - Contacted,"#N/A",CFO,"#N/A"
